epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30225.3,1.64238,2.53752,1.47381,0.4118,0.5262,0.41876,0.19836,1.76531,2.25894,1.70769,0.000553796,0.000553796,0.000553796
2,37311.3,1.63832,1.87085,1.52001,0.4146,0.50482,0.47071,0.22747,1.69316,1.84248,1.65532,0.000999626,0.000999626,0.000999626
3,44023.1,1.59175,1.65621,1.51029,0.57092,0.56392,0.54742,0.27391,1.70739,1.65305,1.5977,0.00133543,0.00133543,0.00133543
4,51012.5,1.5095,1.43456,1.44574,0.54518,0.57544,0.57414,0.26779,1.68181,1.52272,1.61151,0.0011719,0.0011719,0.0011719
5,65405.6,1.44919,1.27918,1.41055,0.50376,0.64113,0.59205,0.30201,1.59253,1.43236,1.54336,0.00100687,0.00100687,0.00100687
6,71708.1,1.37627,1.13673,1.36408,0.63775,0.63243,0.68141,0.35323,1.6112,1.28486,1.55341,0.000841835,0.000841835,0.000841835
7,79479.3,1.31519,1.04593,1.3293,0.70564,0.67384,0.71049,0.37058,1.60831,1.1638,1.54857,0.000676802,0.000676802,0.000676802
8,89017.8,1.26195,0.95215,1.28558,0.64848,0.70703,0.71207,0.38193,1.54445,1.12376,1.48894,0.000511769,0.000511769,0.000511769
9,97250.2,1.2008,0.86453,1.24995,0.75603,0.65805,0.72312,0.38218,1.61137,1.14678,1.56253,0.000346736,0.000346736,0.000346736
10,105882,1.14996,0.79324,1.22302,0.76604,0.68542,0.76517,0.41266,1.55718,1.06425,1.53002,0.000181703,0.000181703,0.000181703
