epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1764.17,1.58521,2.45355,1.68702,0.19019,0.17767,0.11036,0.02595,2.59899,3.42572,2.3471,0.000475183,0.000475183,0.000475183
2,3216.79,1.44112,1.54051,1.52173,0.15779,0.09659,0.08365,0.017,3.18555,3.42394,2.80979,0.000857316,0.000857316,0.000857316
3,31347.9,1.38979,1.2909,1.48353,0.00738,0.25853,0.00904,0.00195,2.98997,4.11634,2.55041,0.00114514,0.00114514,0.00114514
4,32953,1.32872,1.1281,1.43581,0.13959,0.0786,0.06625,0.01888,2.79739,3.94091,2.31772,0.00100459,0.00100459,0.00100459
5,34657.1,1.25176,0.99352,1.37585,0.30759,0.15659,0.16846,0.06553,2.3858,3.39127,2.08907,0.000863116,0.000863116,0.000863116
6,36544.9,1.19703,0.90408,1.33882,0.22095,0.08787,0.0743,0.02534,2.44507,3.81315,2.08048,0.000721645,0.000721645,0.000721645
7,38311.9,1.14497,0.82395,1.29616,0.04743,0.01215,0.00476,0.00157,2.76774,4.64836,2.28484,0.000580174,0.000580174,0.000580174
8,40142.9,1.11421,0.77323,1.27149,0.22904,0.04401,0.04537,0.02135,2.51449,4.08845,2.10757,0.000438703,0.000438703,0.000438703
9,42149.8,1.05837,0.72017,1.23079,0.14255,0.07621,0.06186,0.02359,2.48522,4.1344,2.10685,0.000297232,0.000297232,0.000297232
10,44269.5,1.01453,0.67463,1.20229,0.13612,0.05949,0.03728,0.01725,2.31066,4.36439,1.97904,0.000155761,0.000155761,0.000155761
